word	word_ar	lemma	lemma_ar	pos	stem	gloss	root	root_ar	pattern	pattern_ar	freq_word	freq_lem	freq_root	freq_ptrn
munaZ~amapu	مُنَظَّمَةُ	munaZ~amap_1	مُنَظَّمَةـ1	noun	munaZ~am	organization	n.Z.m	ن.ظ.م	mufaE~alap	مُفَعَّلَة	39433	360872	1190127	387643
Alt~aHoriyri	التَّحْرِيرِ	taHoriyr_1	تَحْرِيرـ1	noun	taHoriyr	liberation;liberating	H.r.r	ح.ر.ر	tafoEiyl	تَفْعِيل	83548	211019	882125	6264512
Als~afaru	السَّفَرُ	safar_1	سَفَرـ1	noun	safar	travel;trip	s.f.r	س.ف.ر	faEal	فَعَل	2194	67314	508332	6231039
biAlt~aHoDiyrAti	بِالتَّحْضِيراتِ	taHoDiyr_1	تَحْضِيرـ1	noun	taHoDiyr	preparation;production	H.D.r	ح.ض.ر	tafoEiyl	تَفْعِيل	320	50509	474556	6264512
taSoriyHK	تَصْرِيحٍ	taSoriyH_1	تَصْرِيحـ1	noun	taSoriyH	declaration;statement	S.r.H	ص.ر.ح	tafoEiyl	تَفْعِيل	62545	97769	327348	6264512
>aEoqaba	أَعْقَبَ	>aEoqab_1	أَعْقَبـ1	verb	>aEoqab	follow;pursue	E.q.b	ع.ق.ب	>afoEal	أَفْعَل	1528	15043	161033	2460356
HafolapF	حَفْلَةً	Hafolap_1	حَفْلَةـ1	noun	Hafol	celebration;party;ceremony	H.f.l	ح.ف.ل	faEolap	فَعْلَة	8266	29927	231684	2411292
Ainoti$Ari	اِنْتِشارِ	{inoti$Ar_1	ٱِنْتِشارـ1	noun	{inoti$Ar	spreading;spread;diffusion	n.$.r	ن.ش.ر	{ifotiEAl	ٱِفْتِعال	38710	100854	351992	3500448
watanoZiymi	وَتَنْظِيمِ	tanoZiym_1	تَنْظِيمـ1	noun	tanoZiym	organization;network	n.Z.m	ن.ظ.م	tafoEiyl	تَفْعِيل	9175	188710	1190127	6264512
qariybAF	قَرِيباً	qariyb_1	قَرِيبـ1	adj	qariyb	near;close	q.r.b	ق.ر.ب	faEiyl	فَعِيل	62191	179129	400771	6533870
ta$okiylu	تَشْكِيلُ	ta$okiyl_1	تَشْكِيلـ1	noun	ta$okiyl	formation;composition;constitution	$.k.l	ش.ك.ل	tafoEiyl	تَفْعِيل	6948	136265	1012074	6264512
lajonapK	لَجْنَةٍ	lajonap_1	لَجْنَةـ1	noun	lajon	council;committee;commission	l.j.n	ل.ج.ن	faEolap	فَعْلَة	30325	622099	622430	2411292
xAS~apK	خاصَّةٍ	xAS~_1	خاصّـ1	adj	xAS~	special;specific	x.S.S	خ.ص.ص	fAE~	فاعّ	87681	533770	1220798	1827993
litaHoDiyri	لِتَحْضِيرِ	taHoDiyr_1	تَحْضِيرـ1	noun	taHoDiyr	preparation;production	H.D.r	ح.ض.ر	tafoEiyl	تَفْعِيل	1707	50509	474556	6264512
Hukuwmapi	حُكُومَةِ	Hukuwmap_1	حُكُومَةـ1	noun	Hukuwm	government;administration	H.k.m	ح.ك.م	fuEuwlap	فُعُولَة	72938	1100316	1923216	1666712
musotaEojalK	مُسْتَعْجَلٍ	musotaEojal_1	مُسْتَعْجَلـ1	adj	musotaEojal	expeditious;urgent	E.j.l	ع.ج.ل	musotafoEal	مُسْتَفْعَل	264	3684	43949	249948
li<ikomAli	لِإِكْمالِ	<ikomAl_1	إِكْمالـ1	noun	<ikomAl	completion;conclusion;perfection	k.m.l	ك.م.ل	<ifoEAl	إِفْعال	1968	11040	461624	2938055
mAr~ayoni	مارَّيْنِ	mAr~_1	مارّـ1	noun	mAr~	passerby;pedestrian	m.r.r	م.ر.ر	fAE~	فاعّ	2093	15111	696367	1827993
<inoqA*K	إِنْقاذٍ	<inoqA*_1	إِنْقاذـ1	noun	<inoqA*	rescue;salvation;relief	n.q.*	ن.ق.ذ	<ifoEAl	إِفْعال	3940	81866	104343	2938055
qad~ama	قَدَّمَ	qad~am_1	قَدَّمـ1	verb	qad~am	offer;present;introduce	q.d.m	ق.د.م	faE~al	فَعَّل	61361	384498	1344030	4031261
<inoqA*i	إِنْقاذِ	<inoqA*_1	إِنْقاذـ1	noun	<inoqA*	rescue;salvation;relief	n.q.*	ن.ق.ذ	<ifoEAl	إِفْعال	10153	81866	104343	2938055
Ald~arajapi	الدَّرَجَةِ	darajap_1	دَرَجَةـ1	noun	daraj	degree;class;rank;grade;level	d.r.j	د.ر.ج	faEalap	فَعَلَة	45238	126081	269702	900553
musAbaqapi	مُسابَقَةِ	musAbaqap_1	مُسابَقَةـ1	noun	musAbaq	race;competition	s.b.q	س.ب.ق	mufAEalap	مُفاعَلَة	35049	93255	899892	2858540
Alqadami	القَدَمِ	qadam_1	قَدَمـ1	noun	qadam	foot	q.d.m	ق.د.م	faEal	فَعَل	175567	250944	1344030	6231039
AlAiHotifAZi	الاِحْتِفاظِ	{iHotifAZ_1	ٱِحْتِفاظـ1	noun	{iHotifAZ	safeguarding;preservation	H.f.Z	ح.ف.ظ	{ifotiEAl	ٱِفْتِعال	9322	21022	493231	3500448
bilaqabihi	بِلَقَبِهِ	laqab_1	لَقَبـ1	noun	laqab	title;nickname	l.q.b	ل.ق.ب	faEal	فَعَل	2509	137991	147219	6231039
kabaTalK	كَبَطَلٍ	baTal_1	بَطَلـ1	noun	baTal	hero;champion;star	b.T.l	ب.ط.ل	faEal	فَعَل	367	95662	424214	6231039
Almarokazi	المَرْكَزِ	marokaz_1	مَرْكَزـ1	noun	marokaz	center;station	r.k.z	ر.ك.ز	mafoEal	مَفْعَل	111182	371119	716978	1993955
sayuHorizu	سَيُحْرِزُ	>aHoraz_1	أَحْرَزـ1	verb	Horiz	gain;win;preserve	H.r.z	ح.ر.ز	>afoEal	أَفْعَل	182	82145	86128	2460356
All~aqaba	اللَّقَبَ	laqab_1	لَقَبـ1	noun	laqab	title;nickname	l.q.b	ل.ق.ب	faEal	فَعَل	13391	137991	147219	6231039
baEoda	بَعْدَ	baEod_1	بَعْدـ1	noun	baEod	after	b.E.d	ب.ع.د	faEol	فَعْل	1379278	1675363	2004428	14268861
wabuTuwlapF	وَبُطُولَةً	buTuwlap_1	بُطُولَةـ1	noun	buTuwl	championship;starring_role;heroism	b.T.l	ب.ط.ل	fuEuwlap	فُعُولَة	3384	288554	424214	1666712
bimaqoduwri	بِمَقْدُورِ	maqoduwr_1	مَقْدُورـ1	noun	maqoduwr	capacity;capability;possibility	q.d.r	ق.د.ر	mafoEuwl	مَفْعُول	1361	6582	596998	2279318
ta$okiylatuhu	تَشْكِيلَتُهُ	ta$okiylap_1	تَشْكِيلَةـ1	noun	ta$okiyl	assortment;group	$.k.l	ش.ك.ل	tafoEiylap	تَفْعِيلَة	257	33321	1012074	90345
qalobi	قَلْبِ	qalob_1	قَلْبـ1	noun	qalob	overthrowing;toppling	q.l.b	ق.ل.ب	faEol	فَعْل	27283	94917	186099	14268861
difAEihi	دِفاعِهِ	difAE_1	دِفاعـ1	noun	difAE	defense	d.f.E	د.ف.ع	fiEAl	فِعال	4702	343746	711415	4333985
waAlhad~Afa	وَالهَدّافَ	had~Af_1	هَدّافـ1	noun	had~Af	sharpshooter	h.d.f	ه.د.ف	faE~Al	فَعّال	310	25216	562377	1085004
All~AEibu	اللّاعِبُ	lAEib_1	لاعِبـ1	noun	lAEib	player;athlete	l.E.b	ل.ع.ب	fAEil	فاعِل	7443	248564	389979	6244614
Almunotaxabi	المُنْتَخَبِ	munotaxab_1	مُنْتَخَبـ1	noun	munotaxab	national_team	n.x.b	ن.خ.ب	mufotaEal	مُفْتَعَل	64348	237660	614322	943033
AlEAlami	العالَمِ	EAlam_1	عالَمـ1	noun	EAlam	world	E.l.m	ع.ل.م	fAEal	فاعَل	488762	670398	1995851	2170013
buTuwlapi	بُطُولَةِ	buTuwlap_1	بُطُولَةـ1	noun	buTuwl	championship;starring_role;heroism	b.T.l	ب.ط.ل	fuEuwlap	فُعُولَة	101075	288554	424214	1666712
Almuqobili	المُقْبِلِ	muqobil_1	مُقْبِلـ1	adj	muqobil	next;coming;approaching	q.b.l	ق.ب.ل	mufoEil	مُفْعِل	223896	473218	1367731	1009119
biqarArK	بِقَرارٍ	qarAr_1	قَرارـ1	noun	qarAr	decision;resolution	q.r.r	ق.ر.ر	faEAl	فَعال	10808	610498	1744500	3203401
TifolN	طِفْلٌ	Tifol_1	طِفْلـ1	noun	Tifol	child;boy	T.f.l	ط.ف.ل	fiEol	فِعْل	5635	65374	95939	2840982
nafosahu	نَفْسَهُ	nafos_1	نَفْسـ1	noun	nafos	same;self	n.f.s	ن.ف.س	faEol	فَعْل	69380	622156	803590	14268861
bisilAHi	بِسِلاحِ	silAH_1	سِلاحـ1	noun	silAH	weapon	s.l.H	س.ل.ح	fiEAl	فِعال	2032	142707	386141	4333985
$aroTayo	شَرْطَيْ	$aroT_1	شَرْطـ1	noun	$aroT	precondition;stipulation	$.r.T	ش.ر.ط	faEol	فَعْل	10103	63887	486327	14268861
mutafar~iqAtN	مُتَفَرِّقاتٌ	mutafar~iqAt_1	مُتَفَرِّقاتـ1	noun	mutafar~iq	miscellany	f.r.q	ف.ر.ق	mutafaE~ilAt	مُتَفَعِّلات	10932	11057	245486	11057
murAsilu	مُراسِلُ	murAsil_1	مُراسِلـ1	noun	murAsil	correspondent	r.s.l	ر.س.ل	mufAEil	مُفاعِل	23230	62663	463184	1484898
TifolAF	طِفْلاً	Tifol_1	طِفْلـ1	noun	Tifol	child;boy	T.f.l	ط.ف.ل	fiEol	فِعْل	9178	65374	95939	2840982
Eumorihi	عُمْرِهِ	Eumor_1	عُمْرـ1	noun	Eumor	age;life	E.m.r	ع.م.ر	fuEol	فُعْل	12628	98279	410639	1484434
nafosihi	نَفْسِهِ	nafos_1	نَفْسـ1	noun	nafos	same;self	n.f.s	ن.ف.س	faEol	فَعْل	187684	622156	803590	14268861
bira$~A$i	بِرَشّاشِ	ra$~A$ap_1	رَشّاشَةـ1	noun	ra$~A$	machine_gun	r.$.$	ر.ش.ش	faE~Alap	فَعّالَة	185	3636	6313	71766
AlHAdivu	الحادِثُ	HAdiv_1	حادِثـ1	noun	HAdiv	incident;event	H.d.v	ح.د.ث	fAEil	فاعِل	10936	151242	985726	6244614
AlEasokariy~api	العَسْكَرِيَّةِ	Easokariy~_1	عَسْكَرِيّـ1	adj	Easokariy~	military;army	E.s.k.r	ع.س.ك.ر	faEolaliy~	فَعْلَلِيّ	153475	607589	654581	658923
wa>agolaqat	وَأَغْلَقَت	>agolaq_1	أَغْلَقـ1	verb	>agolaq	lock_or_bolt_shut	g.l.q	غ.ل.ق	>afoEal	أَفْعَل	2027	32061	115974	2460356
Al$~uroTapu	الشُّرْطَةُ	$uroTap_1	شُرْطَةـ1	noun	$uroT	police	$.r.T	ش.ر.ط	fuEolap	فُعْلَة	97192	342615	486327	2077406
AlqiTAEa	القِطاعَ	qiTAE_1	قِطاعـ1	noun	qiTAE	sector;section	q.T.E	ق.ط.ع	fiEAl	فِعال	7226	372518	678138	4333985
AiHotafaluwA	اِحْتَفَلُوا	{iHotafal_1	ٱِحْتَفَلـ1	verb	{iHotafal	celebrate	H.f.l	ح.ف.ل	{ifotaEal	ٱِفْتَعَل	498	33100	231684	2156523
AljAmiEapi	الجامِعَةِ	jAmiEap_1	جامِعَةـ1	noun	jAmiE	university	j.m.E	ج.م.ع	fAEilap	فاعِلَة	132162	305036	2198458	1364469
SanoEA'a	صَنْعاءَ	SanoEA'_1	صَنْعاءـ1	noun_prop	SanoEA'	Sana;Sanaa	S.n.E	ص.ن.ع	faEolA'	فَعْلاء	5871	39476	432794	87874
jAmiEapi	جامِعَةِ	jAmiEap_1	جامِعَةـ1	noun	jAmiE	university	j.m.E	ج.م.ع	fAEilap	فاعِلَة	77969	305036	2198458	1364469
SanoEA'i	صَنْعاءِ	SanoEA'_1	صَنْعاءـ1	noun_prop	SanoEA'	Sana;Sanaa	S.n.E	ص.ن.ع	faEolA'	فَعْلاء	2674	39476	432794	87874
Eabod	عَبْد	Eabod_1	عَبْدـ1	noun_prop	Eabod	Abd	E.b.d	ع.ب.د	faEol	فَعْل	279546	305928	401956	14268861
SAliH	صالِح	SAliH_2	صالِحـ2	noun_prop	SAliH	Salih;Saleh	S.l.H	ص.ل.ح	fAEil	فاعِل	68055	76322	407833	6244614
<iqonAEihi	إِقْناعِهِ	<iqonAE_1	إِقْناعـ1	noun	<iqonAE	persuasion;convincing	q.n.E	ق.ن.ع	<ifoEAl	إِفْعال	785	42702	131264	2938055
muHam~ad	مُحَمَّد	muHam~ad_1	مُحَمَّدـ1	noun_prop	muHam~ad	Muhammad;Mohamed	H.m.d	ح.م.د	mufaE~al	مُفَعَّل	433542	497303	788346	2226315
saEiyd	سَعِيد	saEiyd_2	سَعِيدـ2	noun_prop	saEiyd	Said;Saeed	s.E.d	س.ع.د	faEiyl	فَعِيل	71559	81759	736151	6533870
sayusal~imu	سَيُسَلِّمُ	sal~am_1	سَلَّمـ1	verb	sal~im	hand_over;surrender;greet	s.l.m	س.ل.م	faE~al	فَعَّل	1117	74040	2085587	4031261
risAlapF	رِسالَةً	risAlap_1	رِسالَةـ1	noun	risAl	letter;communication	r.s.l	ر.س.ل	fiEAlap	فِعالَة	44296	185185	463184	1420370
AlEAm~i	العامِّ	EAm~_1	عامّـ1	adj	EAm~	general;common;public	E.m.m	ع.م.م	fAE~	فاعّ	360048	1011455	1144155	1827993
liljAmiEapi	لِلجامِعَةِ	jAmiEap_1	جامِعَةـ1	noun	jAmiE	university	j.m.E	ج.م.ع	fAEilap	فاعِلَة	21094	305036	2198458	1364469
Almajiyd	المَجِيد	majiyd_2	مَجِيدـ2	noun_prop	majiyd	Majeed;Meguid	m.j.d	م.ج.د	faEiyl	فَعِيل	15188	19358	58111	6533870
AljAmiEapa	الجامِعَةَ	jAmiEap_1	جامِعَةـ1	noun	jAmiE	university	j.m.E	ج.م.ع	fAEilap	فاعِلَة	6055	305036	2198458	1364469
musotaEid~apF	مُسْتَعِدَّةً	musotaEid~_1	مُسْتَعِدّـ1	adj	musotaEid~	ready;prepared	E.d.d	ع.د.د	musotafiE~	مُسْتَفِعّ	2768	68729	1493498	212525
bitaSar~ufi	بِتَصَرُّفِ	taSar~uf_1	تَصَرُّفـ1	noun	taSar~uf	behavior;conduct;disposal	S.r.f	ص.ر.ف	tafaE~ul	تَفَعُّل	2187	60586	178422	1328652
lilHifAZi	لِلحِفاظِ	HifAZ_1	حِفاظـ1	noun	HifAZ	preservation;guarding	H.f.Z	ح.ف.ظ	fiEAl	فِعال	12206	68870	493231	4333985
waAisotiqorArihi	وَاِسْتِقْرارِهِ	{isotiqorAr_1	ٱِسْتِقْرارـ1	noun	{isotiqorAr	stability	q.r.r	ق.ر.ر	{isotifoEAl	ٱِسْتِفْعال	2609	144696	1744500	1400983
AisotimorAra	اِسْتِمْرارَ	{isotimorAr_1	ٱِسْتِمْرارـ1	noun	{isotimorAr	continuation;continuity	m.r.r	م.ر.ر	{isotifoEAl	ٱِسْتِفْعال	25484	183980	696367	1400983
qalaqAF	قَلَقاً	qalaq_1	قَلَقـ1	noun	qalaq	unrest;concern;apprehension	q.l.q	ق.ل.ق	faEal	فَعَل	4367	81875	99542	6231039
EamiyqAF	عَمِيقاً	Eamiyq_1	عَمِيقـ1	adj	Eamiyq	deep;profound	E.m.q	ع.م.ق	faEiyl	فَعِيل	5331	49738	118242	6533870
AlEarabi	العَرَبِ	Earabiy~_1	عَرَبِيّـ1	adj	Earab	Arab	E.r.b	ع.ر.ب	faEaliy~	فَعَلِيّ	82033	315390	518378	940746
watarak~azat	وَتَرَكَّزَت	tarak~az_1	تَرَكَّزـ1	verb	tarak~az	concentrate;focus	r.k.z	ر.ك.ز	tafaE~al	تَفَعَّل	2799	29256	716978	1974161
minoTaqapi	مِنْطَقَةِ	minoTaqap_1	مِنْطَقَةـ1	noun	minoTaq	area;zone;territory	n.T.q	ن.ط.ق	mifoEalap	مِفْعَلَة	262734	900906	1023743	909756
buEodi	بُعْدِ	buEod_1	بُعْدـ1	noun	buEod	dimension;distance	b.E.d	ب.ع.د	fuEol	فُعْل	50177	86037	2004428	1484434
Eadon	عَدْن	Eadon_1	عَدْنـ1	noun_prop	Eadon	Aden_(Yem.)	E.d.n	ع.د.ن	faEol	فَعْل	3693	21097	78671	14268861
tu$orifu	تُشْرِفُ	>a$oraf_1	أَشْرَفـ1	verb	$orif	oversee;supervise;manage	$.r.f	ش.ر.ف	>afoEal	أَفْعَل	8391	38125	256502	2460356
HADirapi	حاضِرَةِ	HADir_1	حاضِرـ1	adj	HADir	present;attending	H.D.r	ح.ض.ر	fAEil	فاعِل	132	48745	474556	6244614
Aljanuwbi	الجَنُوبِ	januwb_1	جَنُوبـ1	noun	januwb	south	j.n.b	ج.ن.ب	faEuwl	فَعُول	146205	561040	1268103	651209
Als~Akit	السّاكِت	sAkit_1	ساكِتـ1	adj	sAkit	silent;calm	s.k.t	س.ك.ت	fAEil	فاعِل	99	899	12646	6244614
biAlT~ariyqi	بِالطَّرِيقِ	Tariyq_1	طَرِيقـ1	noun	Tariyq	road;way	T.r.q	ط.ر.ق	faEiyl	فَعِيل	831	358092	544925	6533870
Albar~iy~i	البَرِّيِّ	bar~iy~_1	بَرِّيّـ1	adj	bar~iy~	land;rural	b.r.r	ب.ر.ر	faE~iy~	فَعِّيّ	6675	41503	160336	258013
SanoEA'a	صَنْعاءَ	SanoEA'_1	صَنْعاءـ1	noun_prop	SanoEA'	Sana;Sanaa	S.n.E	ص.ن.ع	faEolA'	فَعْلاء	16577	39476	432794	87874
HAfiZ	حافِظ	HAfiZ_2	حافِظـ2	noun_prop	HAfiZ	Hafiz	H.f.Z	ح.ف.ظ	fAEil	فاعِل	28243	32526	493231	6244614
$amAliy~N	شَمالِيٌّ	$amAliy~_1	شَمالِيّـ1	adj	$amAliy~	north;northern	$.m.l	ش.م.ل	faEAliy~	فَعالِيّ	5525	145120	354322	824387
qaliqi	قَلِقِ	qaliq_1	قَلِقـ1	noun	qaliq	worried;concerned;disturbed	q.l.q	ق.ل.ق	faEil	فَعِل	278	6874	99542	327013
AlqitAli	القِتالِ	qitAl_1	قِتالـ1	noun	qitAl	fighting;combat;struggle	q.t.l	ق.ت.ل	fiEAl	فِعال	18091	37197	463777	4333985
wanabo*i	وَنَبْذِ	nabo*_1	نَبْذـ1	noun	nabo*	discarding;rejection;renunciation	n.b.*	ن.ب.ذ	faEol	فَعْل	2403	7251	17212	14268861
AlAiqotitAli	الاِقْتِتالِ	{iqotitAl_1	ٱِقْتِتالـ1	noun	{iqotitAl	fighting_(each_other)	q.t.l	ق.ت.ل	{ifoEitAl	ٱِفْعِتال	3129	6406	463777	118793
muEAlajapi	مُعالَجَةِ	muEAlajap_1	مُعالَجَةـ1	noun	muEAlaj	treatment;therapy;processing	E.l.j	ع.ل.ج	mufAEalap	مُفاعَلَة	32604	114898	194499	2858540
bi>usoluwbi	بِأُسْلُوبِ	>usoluwb_1	أُسْلُوبـ1	noun	>usoluwb	style;method;manner	s.l.b	س.ل.ب	>ufoEuwl	أُفْعُول	802	68642	170402	391788
munoTalaqi	مُنْطَلَقِ	munoTalaq_1	مُنْطَلَقـ1	noun	munoTalaq	premise;principle	T.l.q	ط.ل.ق	munofaEal	مُنْفَعَل	7654	23879	415133	50189
AlHiroSi	الحِرْصِ	HiroS_1	حِرْصـ1	noun	HiroS	desire;eagerness;keenness	H.r.S	ح.ر.ص	fiEol	فِعْل	6689	45238	63043	2840982
AlmiSoriy~u	المِصْرِيُّ	miSoriy~_1	مِصْرِيّـ1	adj	miSoriy~	Egyptian	m.S.r	م.ص.ر	fiEoliy~	فِعْلِيّ	62853	431187	818327	1165647
Husoniy	حُسْنِي	Husoniy_1	حُسْنِيـ1	noun_prop	Husoniy	Hosny;Hosni	H.s.n	ح.س.ن	fuEoliy	فُعْلِي	42473	50563	680679	68529
mubArak	مُبارَك	mubArak_1	مُبارَكـ1	noun_prop	mubArak	Mubarak	b.r.k	ب.ر.ك	mufAEal	مُفاعَل	105403	109678	133096	129036
AiHotimAli	اِحْتِمالِ	{iHotimAl_1	ٱِحْتِمالـ1	noun	{iHotimAl	possibility;probability;likelihood;scenario	H.m.l	ح.م.ل	{ifotiEAl	ٱِفْتِعال	45935	82665	508046	3500448
lilqitAli	لِلقِتالِ	qitAl_1	قِتالـ1	noun	qitAl	fighting;combat;struggle	q.t.l	ق.ت.ل	fiEAl	فِعال	2936	37197	463777	4333985
Al$~amAliy~iyna	الشَّمالِيِّينَ	$amAliy~_1	شَمالِيّـ1	adj	$amAliy~	north;northern	$.m.l	ش.م.ل	faEAliy~	فَعالِيّ	3069	145120	354322	824387
waSar~aHa	وَصَرَّحَ	Sar~aH_1	صَرَّحـ1	verb	Sar~aH	declare;announce	S.r.H	ص.ر.ح	faE~al	فَعَّل	74027	169697	327348	4031261
AlHaqiyqapa	الحَقِيقَةَ	Haqiyqap_1	حَقِيقَةـ1	noun	Haqiyq	truth;reality	H.q.q	ح.ق.ق	faEiylap	فَعِيلَة	18672	123204	1376849	2557723
<irosAla	إِرْسالَ	<irosAl_1	إِرْسالـ1	noun	<irosAl	transmission;broadcast	r.s.l	ر.س.ل	<ifoEAl	إِفْعال	12961	94427	463184	2938055
junodiy~K	جُنْدِيٍّ	junodiy~_1	جُنْدِيّـ1	noun	junodiy~	soldier	j.n.d	ج.ن.د	fuEoliy~	فُعْلِيّ	35387	113371	132880	402822
salAmK	سَلامٍ	salAm_1	سَلامـ1	noun	salAm	peace	s.l.m	س.ل.م	faEAl	فَعال	72718	664937	2085587	3203401
lilfaSoli	لِلفَصْلِ	faSol_1	فَصْلـ1	noun	faSol	discharge;dismissal	f.S.l	ف.ص.ل	faEol	فَعْل	3214	88801	367184	14268861
SanoEA'u	صَنْعاءُ	SanoEA'_1	صَنْعاءـ1	noun_prop	SanoEA'	Sana;Sanaa	S.n.E	ص.ن.ع	faEolA'	فَعْلاء	3788	39476	432794	87874
AisotaboEadat	اِسْتَبْعَدَت	{isotaboEad_1	ٱِسْتَبْعَدـ1	verb	{isotaboEad	rule_out;reject	b.E.d	ب.ع.د	{isotafoEal	ٱِسْتَفْعَل	3361	51127	2004428	412855
fikorapa	فِكْرَةَ	fikorap_1	فِكْرَةـ1	noun	fikor	idea;notion;concept	f.k.r	ف.ك.ر	fiEolap	فِعْلَة	20297	97382	326662	530518
<irosAli	إِرْسالِ	<irosAl_1	إِرْسالـ1	noun	<irosAl	transmission;broadcast	r.s.l	ر.س.ل	<ifoEAl	إِفْعال	25750	94427	463184	2938055
faSolK	فَصْلٍ	faSol_1	فَصْلـ1	noun	faSol	discharge;dismissal	f.S.l	ف.ص.ل	faEol	فَعْل	4571	88801	367184	14268861
bisababi	بِسَبَبِ	sabab_1	سَبَبـ1	noun	sabab	reason;cause	s.b.b	س.ب.ب	faEal	فَعَل	268186	401663	452729	6231039
Alr~afoDi	الرَّفْضِ	rafoD_1	رَفْضـ1	noun	rafoD	rejection;refusal	r.f.D	ر.ف.ض	faEol	فَعْل	7722	140353	177654	14268861
AlqATiEi	القاطِعِ	qATiE_1	قاطِعـ1	adj	qATiE	decisive;definitive;convincing;conclusive	q.T.E	ق.ط.ع	fAEil	فاعِل	3255	18699	678138	6244614
Al$~amAliy~uwna	الشَّمالِيُّونَ	$amAliy~_1	شَمالِيّـ1	adj	$amAliy~	north;northern	$.m.l	ش.م.ل	faEAliy~	فَعالِيّ	383	145120	354322	824387
dAxiliy~K	داخِلِيٍّ	dAxiliy~_1	داخِلِيّـ1	adj	dAxiliy~	internal;domestic	d.x.l	د.خ.ل	fAEiliy~	فاعِلِيّ	9803	224989	743525	517103
waya$otariTu	وَيَشْتَرِطُ	{i$otaraT_1	ٱِشْتَرَطـ1	verb	$otariT	make_conditional;stipulate;be_prerequisite	$.r.T	ش.ر.ط	{ifotaEal	ٱِفْتَعَل	964	14170	486327	2156523
AinosiHAbi	اِنْسِحابِ	{inosiHAb_1	ٱِنْسِحابـ1	noun	{inosiHAb	withdrawal;evacuation;pulling_out	s.H.b	س.ح.ب	{inofiEAl	ٱِنْفِعال	29099	217298	326107	988962
Al$~amAliy~api	الشَّمالِيَّةِ	$amAliy~_1	شَمالِيّـ1	adj	$amAliy~	north;northern	$.m.l	ش.م.ل	faEAliy~	فَعالِيّ	76852	145120	354322	824387
Als~Abiqi	السّابِقِ	sAbiq_1	سابِقـ1	adj	sAbiq	former;previous;preceding	s.b.q	س.ب.ق	fAEil	فاعِل	185344	624514	899892	6244614
AinodilAEi	اِنْدِلاعِ	{inodilAE_1	ٱِنْدِلاعـ1	noun	{inodilAE	breaking_out	d.l.E	د.ل.ع	{inofiEAl	ٱِنْفِعال	22659	26799	48335	988962
qarArAF	قَراراً	qarAr_1	قَرارـ1	noun	qarAr	decision;resolution	q.r.r	ق.ر.ر	faEAl	فَعال	39883	610498	1744500	3203401
bi*ahAb	بِذَهاب	*ahAb_1	ذَهابـ1	noun	*ahAb	going;departure	*.h.b	ذ.ه.ب	faEAl	فَعال	33	65694	212066	3203401
sAlim	سالِم	sAlim_2	سالِمـ2	noun_prop	sAlim	Salim;Salem	s.l.m	س.ل.م	fAEil	فاعِل	28027	31767	2085587	6244614
AlS~aEiydi	الصَّعِيدِ	SaEiyd_1	صَعِيدـ1	noun	SaEiyd	level;plane	S.E.d	ص.ع.د	faEiyl	فَعِيل	43693	123908	232391	6533870
AlEasokariy~i	العَسْكَرِيِّ	Easokariy~_1	عَسْكَرِيّـ1	adj	Easokariy~	military;army	E.s.k.r	ع.س.ك.ر	faEolaliy~	فَعْلَلِيّ	87114	607589	654581	658923
Al$~amAliy~uwna	الشَّمالِيُّونَ	$amAliy~_1	شَمالِيّـ1	noun	$amAliy~	north;northern	$.m.l	ش.م.ل	faEAliy	فَعالِي	727	145120	354322	2998
taqodiyma	تَقْدِيمَ	taqodiym_1	تَقْدِيمـ1	noun	taqodiym	offering;presenting;submitting	q.d.m	ق.د.م	tafoEiyl	تَفْعِيل	28406	195782	1344030	6264512
mutanAqiDapK	مُتَناقِضَةٍ	mutanAqiD_1	مُتَناقِضـ1	adj	mutanAqiD	contradictory;inconsistent;incompatible	n.q.D	ن.ق.ض	mutafAEil	مُتَفاعِل	1855	10392	76179	195419
muHAfiZapu	مُحافِظَةُ	muHAfiZ_1	مُحافِظـ1	noun	muHAfiZ	governor	H.f.Z	ح.ف.ظ	mufAEil	مُفاعِل	3220	106158	493231	1484898
laHaj~K	لَحَجٍّ	Haj~_1	حَجّـ1	noun	Haj~	pilgrimage;Haj	H.j.j	ح.ج.ج	faE~	فَعّ	234	15192	195133	1659289
Alqadiymapi	القَدِيمَةِ	qadiym_1	قَدِيمـ1	adj	qadiym	old;ancient	q.d.m	ق.د.م	faEiyl	فَعِيل	45555	118408	1344030	6533870
$aTorayo	شَطْرَيْ	$aTor_1	شَطْرـ1	noun	$aTor	bisecting	$.T.r	ش.ط.ر	faEol	فَعْل	1942	12036	20397	14268861
Als~Abiqiyna	السّابِقِينَ	sAbiq_1	سابِقـ1	adj	sAbiq	former;previous;preceding	s.b.q	س.ب.ق	fAEil	فاعِل	16862	624514	899892	6244614
mutaHad~ivN	مُتَحَدِّثٌ	mutaHad~iv_1	مُتَحَدِّثـ1	noun	mutaHad~iv	spokesman;speaker	H.d.v	ح.د.ث	mutafaE~il	مُتَفَعِّل	35378	156097	985726	760741
Easokariy~N	عَسْكَرِيٌّ	Easokariy~_1	عَسْكَرِيّـ1	adj	Easokariy~	military;army	E.s.k.r	ع.س.ك.ر	faEolaliy~	فَعْلَلِيّ	24334	607589	654581	658923
